mano_clave,carta1,carta2,carta3,carta4,prob_grande,prob_chica,prob_pares,prob_juego,prob_punto,piedras_esperadas,tipo_mano,estado_juego,suma_puntos,valor_par,valor_juego
"1,7,7,7",1,7,7,7,0.4163,21.3939,76.7917,0.0000,18.6755,4.0681,Medias de 7s,Punto de 22,22,2,0
"10,10,10,10",10,10,10,10,2.4305,0.0000,89.6125,21.8331,0.0000,5.4026,Cuaternas de 10s,Juego de 40 (bueno),40,3,2
"10,10,10,11",10,10,10,11,9.3432,0.0000,77.5582,21.8331,0.0000,4.1625,Medias de 10s,Juego de 40 (bueno),40,2,2
"10,10,10,12",10,10,10,12,43.9332,0.0000,80.1388,21.8331,0.0000,4.9575,Medias de 10s,Juego de 40 (bueno),40,2,2
"10,10,11,11",10,10,11,11,10.2712,0.0000,91.5368,21.8331,0.0000,5.6556,Duples (11s y 10s),Juego de 40 (bueno),40,3,2
"10,10,11,12",10,10,11,12,67.5311,0.0000,32.8254,21.8331,0.0000,3.2087,Pareja de 10s,Juego de 40 (bueno),40,1,2
"10,10,12,12",10,10,12,12,92.3639,0.0000,99.4508,21.8331,0.0000,7.6931,Duples (12s y 10s),Juego de 40 (bueno),40,3,2
"10,11,11,11",10,11,11,11,10.2712,0.0000,77.7342,21.8331,0.0000,4.1881,Medias de 11s,Juego de 40 (bueno),40,2,2
"10,11,11,12",10,11,11,12,69.1263,0.0000,37.9000,21.8331,0.0000,3.3928,Pareja de 11s,Juego de 40 (bueno),40,1,2
"10,11,12,12",10,11,12,12,97.7604,0.0002,72.6049,21.8331,0.0000,5.0067,Pareja de 12s,Juego de 40 (bueno),40,1,2
"10,12,12,12",10,12,12,12,99.8472,0.0000,87.6411,21.8331,0.0000,6.3759,Medias de 12s,Juego de 40 (bueno),40,2,2
"11,11,11,11",11,11,11,11,10.2712,0.0000,91.2631,21.8331,0.0000,5.6419,Cuaternas de 11s,Juego de 40 (bueno),40,3,2
"11,11,11,12",11,11,11,12,69.1263,0.0000,80.8327,21.8331,0.0000,5.4892,Medias de 11s,Juego de 40 (bueno),40,2,2
"11,11,12,12",11,11,12,12,97.9127,0.0000,100.0000,21.8331,0.0000,7.8316,Duples (12s y 11s),Juego de 40 (bueno),40,3,2
"11,12,12,12",11,12,12,12,99.9830,0.0000,87.6411,21.8331,0.0000,6.3786,Medias de 12s,Juego de 40 (bueno),40,2,2
"12,12,12,12",12,12,12,12,100.0000,0.0000,100.0000,21.8331,0.0000,7.8733,Cuaternas de 12s,Juego de 40 (bueno),40,3,2
"4,10,10,10",4,10,10,10,2.4305,3.5742,77.0745,3.7288,0.0000,3.3522,Medias de 10s,Juego de 34 (bueno),34,2,2
"4,10,10,11",4,10,10,11,9.3078,3.5804,26.6022,3.7288,0.0000,1.2050,Pareja de 10s,Juego de 34 (bueno),34,1,2
"4,10,10,12",4,10,10,12,43.7414,3.5887,28.8040,3.7288,0.0000,1.9599,Pareja de 10s,Juego de 34 (bueno),34,1,2
"4,10,11,11",4,10,11,11,10.2321,3.5804,31.0148,3.7288,0.0000,1.3558,Pareja de 11s,Juego de 34 (bueno),34,1,2
"4,10,11,12",4,10,11,12,65.1902,3.7052,0.0000,3.7288,0.0000,1.5271,Sin pares,Juego de 34 (bueno),34,0,2
"4,10,12,12",4,10,12,12,90.4214,3.6676,72.6049,3.7288,0.0000,4.2091,Pareja de 12s,Juego de 34 (bueno),34,1,2
"4,11,11,11",4,11,11,11,10.2712,3.5742,77.7342,3.7288,0.0000,3.5354,Medias de 11s,Juego de 34 (bueno),34,2,2
"4,11,11,12",4,11,11,12,68.8032,3.5887,37.9000,3.7288,0.0000,2.7340,Pareja de 11s,Juego de 34 (bueno),34,1,2
"4,11,12,12",4,11,12,12,95.3300,3.6676,72.6049,3.7288,0.0000,4.3073,Pareja de 12s,Juego de 34 (bueno),34,1,2
"4,12,12,12",4,12,12,12,99.3040,3.5950,87.6411,3.7288,0.0000,5.7128,Medias de 12s,Juego de 34 (bueno),34,2,2
"4,4,10,10",4,4,10,10,2.3454,9.9461,89.8388,0.0000,85.9302,7.3157,Duples (10s y 4s),Punto de 28,28,3,0
